level,part_number,description,qty,uom,vendor,vendor_part,unit_cost_usd,extended_cost_usd,notes
1,KL-100-A,Killian Lift v1 Full Product Assembly,1,ea,Killian (final assy),,—,—,Top assembly
2,KL-110-A,Base Assembly,1,ea,Killian (sub),,—,—,
3,KL-111,Cast aluminum base body 6061-T6,1,ea,Eck Industries (Manitowoc WI),custom,82.00,82.00,Sand cast pattern + machine
3,KL-112,Outrigger arm 2.5x2.5x0.250 HSS A500-B 14in,4,ea,Atlas Tube,HSS2.5x2.5x0.250,9.50,38.00,Mitered welded tee
3,KL-113,Cam-lock body 304 SS investment cast,4,ea,Avalon Castings,custom,11.00,44.00,
3,KL-114,Cam-lock pin 4140 Q&T 5/16 ground,4,ea,McMaster,91585A246,1.25,5.00,RC 38-42
3,KL-115,Foot pad 80A PUR + 7075 disk 3in,4,ea,custom mold,custom,3.80,15.20,
3,KL-116,Acme screw 1/2-13 x 4in 304 SS,4,ea,Roton,1/2-13X4,8.20,32.80,
3,KL-117,Finger knob 304 SS 2.5in,4,ea,Reid Supply,KHP-275,2.50,10.00,
3,KL-118,Limit switch Honeywell ZW7 IP67,6,ea,Honeywell,ZW7-N,4.85,29.10,4 outrigger + 2 mast
3,KL-119,M12 axle 8in transport wheel solid rubber,2,ea,Colson,4-8R-1,11.00,22.00,
3,KL-120,Caster 4in steel rim swivel locking,4,ea,Colson,4-4408-650-LK,8.50,34.00,
3,KL-121,Hardware kit base (M10 SHCS 12.9 + washers + Loctite),1,kit,Würth,custom,8.50,8.50,
2,KL-130-A,Mast Assembly,1,ea,Killian (sub),,—,—,
3,KL-131,Mast section 1, 4.0x4.0x0.188 HSS A500-B 7ft 6in,1,ea,Atlas Tube + machining,custom,38.00,38.00,
3,KL-132,Mast section 2, 3.5x3.5x0.180 HSS A500-B 7ft 0in,1,ea,Atlas Tube + machining,custom,32.00,32.00,
3,KL-133,Mast section 3, 3.0x3.0x0.165 HSS A500-B 6ft 6in,1,ea,Atlas Tube + machining,custom,28.00,28.00,
3,KL-134,Mast section 4, 2.5x2.5x0.160 HSS A500-B 6ft 0in,1,ea,Atlas Tube + machining,custom,24.00,24.00,
3,KL-135,Glide pad UHMW-PE corner 1.5x1.5x0.5,32,ea,Plastix,custom,0.45,14.40,8 per joint x 4 joints (revised from 2 levels)
3,KL-136,Crown sheave housing cast A356-T6 + machined,1,ea,Eck Industries,custom,28.00,28.00,
3,KL-137,Crown sheave 5.0in PCD U-groove 6061,1,ea,custom,custom,11.00,11.00,
3,KL-138,Sheave bearing 6204-2RS,2,ea,SKF,6204-2RS1,3.20,6.40,
3,KL-139,Internal sheave 4in PCD,3,ea,custom,custom,7.50,22.50,
2,KL-140-A,Carriage and Forks,1,ea,Killian (sub),,—,—,
3,KL-141,Carriage frame welded A572 Gr 50 24in,1,ea,laser cut + weld,custom,42.00,42.00,
