section,line_item,2026_Q3_Q4,2027_FY,2028_FY,scenario_notes
,,,,,
HEADER,Killian Lift 3-Year P&L,,,,
HEADER,Three scenarios: Conservative / Base / Aggressive,,,,
HEADER,All figures in USD thousands unless noted,,,,
,,,,,
,,,,,
SCENARIO,CONSERVATIVE CASE,,,,
,,,,,
UNITS,Kits sold,200,1500,3000,Slow ramp; one fleet pilot doesn't convert until 2028
UNITS,Full lifts sold,0,80,400,
UNITS,Total units,200,1580,3400,
UNITS,Cumulative installed base,200,1780,5180,
,,,,,
REVENUE,Kits (avg ASP $649 incl pre-order),130,938,1875,
REVENUE,Full lifts (avg ASP $2900 mix retail/wholesale),0,232,1160,
REVENUE,Telemetry Pro tier ($5/dev/mo, 30% attach),0,18,90,
REVENUE,Telemetry Fleet tier ($12/dev/mo, 5% attach),0,4,30,
REVENUE,Cellular service ($5/dev/mo, 15% attach),0,9,45,
REVENUE,Replacement parts and accessories,3,28,90,
REVENUE,Total revenue,133,1229,3290,
,,,,,
COGS,Kits direct cost (avg $230),46,345,690,
COGS,Full lifts direct cost (avg $1300),0,104,520,
COGS,Service hosting (cloud),1,4,15,
COGS,Cellular wholesale,0,5,23,
COGS,Warranty reserve,3,18,52,
COGS,Outbound freight (subsidized),5,15,40,
COGS,Total COGS,55,491,1340,
,,,,,
GP,Gross profit,78,738,1950,
GP,Gross margin %,59%,60%,59%,
,,,,,
OPEX,Salaries (Bez + 1->3 in 2027 + 6 in 2028),60,420,840,
OPEX,Contract engineering / firmware,15,80,120,
OPEX,Marketing (trade shows + ads + content),8,180,250,
OPEX,Insurance + legal + accounting,15,55,75,
OPEX,Cloud + SaaS overhead,2,8,20,
OPEX,3PL operations,18,60,120,
OPEX,Sales travel + entertainment,5,40,80,
OPEX,Office + miscellaneous,5,15,30,
OPEX,Total OPEX,128,858,1535,
,,,,,
EBITDA,Operating income (loss),-50,-120,415,
EBITDA,EBITDA margin,-38%,-10%,13%,
,,,,,
CAPEX,Tooling (Phase 1+2),28,0,0,
CAPEX,Tooling (Phase 3 full lift),0,57,0,
CAPEX,Test fixtures,8,15,15,
CAPEX,Inventory step-up (working capital),80,140,200,
CAPEX,Total cash investment,116,212,215,
,,,,,
CASH,Cash burn / generation,-166,-332,200,
CASH,Cumulative cash position from $0,-166,-498,-298,
,,,,,
,,,,,
SCENARIO,BASE CASE (recommended planning),,,,
,,,,,
UNITS,Kits sold,400,3500,8000,
UNITS,Full lifts sold,0,250,1000,Fleet pilot converts in 2027 to 200 unit PO
UNITS,Total units,400,3750,9000,
UNITS,Cumulative installed base,400,4150,13150,
,,,,,
REVENUE,Kits (avg ASP $679),272,2377,5432,
REVENUE,Full lifts (avg ASP $2750 mix),0,688,2750,
REVENUE,Telemetry Pro ($5/dev/mo, 40% attach),0,50,260,
REVENUE,Telemetry Fleet ($12/dev/mo, 10% attach),0,30,160,
REVENUE,Cellular service ($5/dev/mo, 25% attach),0,42,200,
REVENUE,Replacement parts and accessories,5,60,180,
REVENUE,Total revenue,277,3247,8982,
,,,,,
COGS,Kits direct cost (avg $215),86,753,1720,
COGS,Full lifts direct cost (avg $1230),0,308,1230,
COGS,Service hosting (cloud),1,12,40,
COGS,Cellular wholesale,0,21,100,
COGS,Warranty reserve,5,42,118,
COGS,Outbound freight,8,32,80,
COGS,Total COGS,100,1168,3288,
,,,,,
GP,Gross profit,177,2079,5694,
GP,Gross margin %,64%,64%,63%,
,,,,,
OPEX,Salaries (Bez+1 -> 4 -> 9 employees),65,580,1150,
OPEX,Contract engineering,15,95,140,
OPEX,Marketing,8,220,360,
OPEX,Insurance + legal + accounting,18,70,100,
OPEX,Cloud + SaaS,2,10,28,
OPEX,3PL operations,22,90,180,
OPEX,Sales travel,6,55,110,
OPEX,Office + misc,5,20,35,
OPEX,Total OPEX,141,1140,2103,
,,,,,
EBITDA,Operating income,36,939,3591,
EBITDA,EBITDA margin,13%,29%,40%,
,,,,,
CAPEX,Tooling Phase 1+2,28,0,0,
CAPEX,Tooling Phase 3,0,57,0,
CAPEX,Test fixtures,8,18,15,
CAPEX,Inventory step-up,80,180,400,
CAPEX,Total cash investment,116,255,415,
,,,,,
CASH,Cash burn / generation,-80,684,3176,
CASH,Cumulative cash from $0,-80,604,3780,
,,,,,
,,,,,
SCENARIO,AGGRESSIVE CASE,,,,
,,,,,
UNITS,Kits sold,500,6000,15000,Two fleet pilots convert; viral on contractor channels
UNITS,Full lifts sold,0,500,2500,
UNITS,Total units,500,6500,17500,
UNITS,Cumulative installed base,500,7000,24500,
,,,,,
REVENUE,Kits (avg ASP $679),340,4074,10185,
REVENUE,Full lifts (avg ASP $2700),0,1350,6750,
REVENUE,Telemetry Pro ($5/dev/mo 50% attach),0,105,520,
REVENUE,Telemetry Fleet ($12/dev/mo 15% attach),0,75,400,
REVENUE,Cellular service ($5/dev/mo 35% attach),0,98,470,
REVENUE,Replacement parts,8,120,360,
REVENUE,Total revenue,348,5822,18685,
,,,,,
COGS,Kits direct cost (avg $200),100,1200,3000,
COGS,Full lifts direct cost (avg $1180),0,590,2950,
COGS,Service hosting,1,18,75,
COGS,Cellular wholesale,0,49,235,
COGS,Warranty reserve,7,75,250,
COGS,Outbound freight,10,52,160,
COGS,Total COGS,118,1984,6670,
,,,,,
GP,Gross profit,230,3838,12015,
GP,Gross margin %,66%,66%,64%,
,,,,,
OPEX,Salaries (rapid hire to 15 employees by 2028),70,700,1900,
OPEX,Contract engineering,20,120,200,
OPEX,Marketing,10,320,650,
OPEX,Insurance + legal + accounting,20,90,150,
OPEX,Cloud + SaaS,2,15,55,
OPEX,3PL operations,25,140,350,
OPEX,Sales travel,8,80,180,
OPEX,Office + misc,7,30,80,
OPEX,Total OPEX,162,1495,3565,
,,,,,
EBITDA,Operating income,68,2343,8450,
EBITDA,EBITDA margin,20%,40%,45%,
,,,,,
CAPEX,Tooling Phase 1+2,28,0,0,
CAPEX,Tooling Phase 3,0,57,0,
CAPEX,Test fixtures,8,30,30,
CAPEX,Inventory step-up,80,300,800,
CAPEX,Total cash investment,116,387,830,
,,,,,
CASH,Cash burn / generation,-48,1956,7620,
CASH,Cumulative cash from $0,-48,1908,9528,
,,,,,
,,,,,
SUMMARY,SCENARIO COMPARISON 2028 EBITDA,,,,
,,,,,
SUMMARY,Conservative,,,415,
SUMMARY,Base,,,3591,
SUMMARY,Aggressive,,,8450,
,,,,,
SUMMARY,SCENARIO COMPARISON 2028 CUMULATIVE CASH,,,,
,,,,,
SUMMARY,Conservative,,,-298,Requires bridge financing
SUMMARY,Base,,,3780,Self-funding by Q3 2027
SUMMARY,Aggressive,,,9528,Inventory financing only
,,,,,
,,,,,
KEY ASSUMPTIONS,,,,,
ASSUMPTION,Kit FOB cost,$230 -> $200,Volume reduction at 5K units,Per BOM
ASSUMPTION,Full lift FOB cost,—,$1300 -> $1180,Per BOM volume targets
ASSUMPTION,Kit average sale price,$679 (mix of $599 pre-order + $699 retail + $849 PRO),Mostly retail by 2027,
ASSUMPTION,Full lift mix,—,40% direct retail / 60% fleet wholesale,
ASSUMPTION,Telemetry attach rate,—,Grows from 30% to 50% by 2028,Free standard tier removes friction
ASSUMPTION,Salaries 2026,$10k/mo Bez,1 contract engineer,
ASSUMPTION,Salaries 2027,Bez + engineer + ops + sales rep + 1,5 employees by year end,
ASSUMPTION,Salaries 2028,9 to 15 employees,Mix engineering / sales / support,
ASSUMPTION,Marketing,$8k 2026 / $180-320k 2027 / $250-650k 2028,Trade shows + content + paid,
ASSUMPTION,Warranty reserve,1.5% of kit revenue / 2% of lift revenue,Defect rate target <2%,
ASSUMPTION,Customer churn,N/A for hardware,Service tier churn ~10%/yr,
ASSUMPTION,Tax,Not modeled,Assume 0% effective in 2026/2027,Net operating losses; full tax in 2028
